signal,jitter,cache,syscall
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
1,0,25059,1809
0,0,25059,1809
0,0,25059,1809
1,0,25059,1809
