signal,jitter,cache,syscall
0,-22,25101,1597
1,51,25103,1634
1,53,25104,1635
1,53,25104,1635
1,54,25103,1634
1,62,25107,1636
0,-22,25063,1597
0,-22,25063,1597
1,53,25106,1633
1,53,25104,1635
1,51,25103,1634
0,-22,25093,1597
1,50,25103,1634
1,51,25103,1634
1,66,25104,1635
1,51,25103,1634
0,-22,25093,1597
0,-22,25090,1597
0,-22,25099,1597
0,-22,25063,1597
1,50,25107,1637
0,-22,25088,1597
1,53,25103,1635
1,55,25104,1635
0,4,25077,1597
0,2,25063,1597
0,0,25063,1597
0,-22,25063,1597
1,50,25107,1637
0,-22,25088,1597
0,-22,25091,1597
0,-22,25088,1597
0,-22,25063,1597
1,67,25104,1635
0,0,25063,1597
0,14,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25104,1635
0,3,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,51,25105,1633
1,53,25103,1635
0,-22,25085,1597
1,53,25103,1634
0,-22,25099,1597
0,-22,25063,1597
1,67,25104,1635
0,-22,25063,1597
1,53,25104,1635
1,53,25103,1634
0,-22,25081,1597
0,-22,25063,1597
1,54,25114,1635
1,51,25103,1634
0,-22,25093,1597
1,56,25104,1635
1,63,25107,1636
0,-22,25063,1597
1,53,25103,1648
1,53,25103,1634
0,-22,25081,1597
0,-22,25063,1597
1,53,25103,1634
1,51,25103,1634
0,-22,25078,1597
1,68,25104,1635
1,50,25107,1637
1,53,25103,1635
0,-22,25063,1597
0,-22,25063,1597
1,53,25104,1635
0,3,25063,1597
0,-22,25063,1597
1,50,25107,1637
0,-22,25087,1597
1,63,25103,1635
0,1,25063,1597
1,52,25103,1634
1,52,25104,1633
1,54,25103,1636
1,55,25104,1635
1,54,25103,1634
0,-22,25101,1597
0,-22,25063,1597
1,65,25103,1636
1,53,25103,1634
0,-22,25080,1597
1,53,25104,1635
0,-22,25067,1597
1,51,25103,1634
1,54,25116,1634
1,50,25103,1634
1,50,25103,1634
0,-22,25089,1597
0,-22,25063,1597
1,50,25103,1634
0,-22,25092,1597
1,53,25106,1633
0,2,25077,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25104,1635
0,0,25077,1597
1,63,25104,1635
0,-22,25063,1597
0,-22,25063,1597
1,54,25104,1635
0,3,25077,1597
0,3,25063,1597
1,54,25114,1635
1,50,25107,1637
0,-22,25088,1597
1,53,25107,1637
0,-22,25090,1597
0,-22,25099,1597
0,-22,25063,1597
1,50,25110,1634
0,18,25088,1597
0,-22,25085,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,67,25104,1635
1,51,25103,1634
0,-22,25078,1597
0,-22,25063,1597
1,51,25103,1634
0,-22,25093,1597
0,-22,25099,1597
1,51,25103,1634
1,50,25107,1637
0,-22,25087,1597
0,-22,25086,1597
0,-22,25088,1597
0,-22,25063,1597
0,-22,25063,1597
1,54,25103,1636
0,-22,25113,1597
0,-22,25063,1597
1,50,25107,1637
0,-22,25087,1597
0,-22,25099,1597
0,-22,25063,1597
1,56,25104,1635
1,53,25103,1634
1,52,25103,1634
0,-22,25079,1597
1,53,25117,1634
1,53,25103,1634
0,-22,25103,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25104,1635
0,3,25063,1597
0,1,25063,1597
1,52,25103,1634
0,-22,25063,1597
1,53,25104,1635
1,52,25103,1634
1,56,25104,1635
1,68,25104,1635
1,53,25104,1635
1,53,25103,1635
1,53,25103,1634
0,-22,25081,1597
0,-22,25063,1597
1,55,25115,1634
0,3,25077,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,54,25103,1636
0,-22,25063,1597
1,54,25104,1635
1,52,25103,1634
0,-22,25078,1597
1,66,25104,1635
1,54,25103,1634
0,-22,25086,1597
0,-22,25107,1597
0,-22,25063,1597
1,54,25103,1636
0,-22,25063,1597
1,50,25103,1634
0,-22,25092,1597
1,57,25104,1635
1,62,25107,1636
0,-22,25063,1597
0,-22,25063,1597
1,50,25113,1633
0,-22,25089,1597
1,57,25104,1635
0,14,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,68,25104,1635
1,54,25103,1634
0,-22,25086,1597
0,-22,25107,1597
1,53,25103,1634
0,-22,25099,1597
1,56,25116,1633
1,53,25104,1635
0,2,25078,1597
1,53,25103,1634
0,-22,25080,1597
0,-22,25063,1597
1,54,25103,1649
1,51,25105,1633
0,-22,25093,1597
0,-22,25089,1597
1,53,25104,1635
0,2,25063,1597
0,-22,25063,1597
1,62,25103,1635
0,-22,25063,1597
0,-22,25063,1597
1,54,25103,1634
0,-22,25103,1597
0,-22,25063,1597
1,50,25107,1637
1,52,25103,1634
0,-22,25102,1597
0,-22,25063,1597
1,64,25107,1636
1,50,25107,1637
1,53,25103,1648
0,-22,25063,1597
0,-22,25063,1597
1,51,25103,1634
1,51,25103,1634
1,50,25103,1634
0,-22,25077,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25103,1635
0,-22,25099,1597
1,53,25103,1634
0,-22,25103,1597
1,53,25104,1635
0,2,25063,1597
1,52,25103,1634
1,50,25103,1634
0,-22,25092,1597
0,-22,25085,1597
1,53,25103,1635
1,50,25107,1637
1,50,25107,1637
1,54,25104,1635
1,62,25103,1635
1,52,25103,1634
0,-22,25079,1597
0,-22,25063,1597
0,-22,25063,1597
1,51,25103,1634
0,-22,25091,1597
1,54,25103,1634
1,52,25103,1634
1,53,25107,1637
1,60,25107,1636
1,53,25104,1635
0,2,25063,1597
1,50,25111,1633
1,53,25103,1635
0,-22,25085,1597
1,50,25103,1634
1,54,25103,1634
0,-22,25107,1597
0,-22,25063,1597
0,-22,25063,1597
1,50,25103,1634
0,-22,25092,1597
1,50,25103,1634
1,53,25103,1635
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25107,1637
1,61,25107,1636
1,53,25103,1635
0,-22,25063,1597
0,-22,25063,1597
1,54,25103,1636
1,55,25104,1635
0,14,25063,1597
1,52,25103,1634
0,-22,25102,1597
1,68,25104,1635
0,1,25063,1597
0,14,25063,1597
0,-22,25063,1597
1,50,25107,1637
0,23,25099,1597
0,-22,25063,1597
0,-22,25063,1597
1,54,25105,1635
0,-22,25086,1597
1,60,25103,1633
1,50,25107,1637
0,18,25088,1597
1,50,25110,1634
0,-22,25088,1597
0,-22,25113,1597
0,-22,25063,1597
1,54,25104,1635
1,52,25103,1634
1,65,25104,1635
1,50,25103,1634
0,-22,25077,1597
0,-22,25063,1597
1,53,25104,1635
0,2,25077,1597
1,53,25117,1634
1,54,25103,1634
0,-22,25101,1597
1,50,25103,1634
0,-22,25088,1597
0,-22,25088,1597
1,54,25104,1645
1,54,25105,1634
0,3,25077,1597
1,50,25103,1634
1,53,25104,1635
0,-22,25068,1597
0,-22,25063,1597
0,-22,25063,1597
1,53,25104,1635
1,54,25103,1636
1,53,25107,1637
0,-22,25099,1597
1,54,25104,1635
1,53,25119,1633
1,50,25107,1637
0,-22,25088,1597
1,54,25103,1634
0,-22,25081,1597
0,-22,25063,1597
1,53,25104,1646
1,52,25104,1633
0,-22,25079,1597
1,53,25104,1635
0,2,25077,1597
0,14,25063,1597
0,-22,25063,1597
1,68,25104,1635
0,1,25063,1597
0,14,25063,1597
1,50,25103,1634
0,-22,25092,1597
1,53,25104,1635
0,3,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
1,50,25103,1634
0,-22,25084,1597
0,-22,25063,1597
1,52,25103,1634
1,53,25103,1635
0,-22,25099,1597
1,53,25104,1635
0,3,25077,1597
0,-22,25063,1597
1,52,25103,1634
1,53,25103,1635
0,-22,25099,1597
1,53,25104,1635
0,2,25078,1597
1,53,25104,1635
1,61,25107,1636
0,-22,25063,1597
0,-22,25063,1597
1,53,25103,1634
0,-22,25103,1597
1,54,25104,1635
1,51,25103,1634
0,-22,25063,1597
0,-22,25063,1597
0,-22,25063,1597
