signal,jitter,cache,syscall
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
1,0,25059,1588
0,0,25059,1588
0,0,25059,1588
1,0,25059,1588
